@relation WalkForward_0_BOOKKEEPER_TRAINING-SET_R[4.0.0]-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute LOCTOUCHED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute NPBM numeric
@attribute NPVM numeric
@attribute NSM numeric
@attribute NAM numeric
@attribute LOCM numeric
@attribute BUGGY {YES,NO}

@data
4.0.0,4,2,137,235,58.75,137,333,2,0.5,1,2,0,1,2,33,NO
4.0.0,5,2,244,340,68,252,436,10,2,6,6,0,1,6,27,NO
4.0.0,14,3,1026,1246,89,545,1466,481,34.357143,194,21,14,3,39,216,NO
4.0.0,3,3,92,121,40.333332,81,150,11,3.666667,11,4,0,1,4,16,NO
4.0.0,4,2,180,195,48.75,168,210,12,3,8,8,0,0,8,40,NO
4.0.0,9,3,471,633,70.333336,487,795,64,7.111111,40,4,9,0,15,111,NO
4.0.0,5,3,204,210,42,124,216,80,16,75,8,1,0,9,53,NO
4.0.0,7,3,551,621,88.71429,536,691,21,3,16,6,10,4,16,80,NO
4.0.0,5,3,149,168,33.6,133,187,16,3.2,15,4,0,0,4,32,NO
4.0.0,3,3,157,164,54.666668,151,171,6,2,6,15,1,0,16,24,NO
4.0.0,1,1,147,147,147,147,147,0,0,0,16,0,0,17,37,NO
4.0.0,5,3,137,269,53.8,126,401,15,3,13,1,0,0,1,84,NO
4.0.0,4,3,271,280,70,249,289,22,5.5,12,4,0,2,4,27,NO
4.0.0,9,3,548,1040,115.55556,410,1532,138,15.333333,59,14,0,0,15,275,NO
4.0.0,6,2,728,931,155.16667,714,1134,168,28,77,14,8,0,22,319,NO
4.0.0,4,2,205,212,53,204,219,1,0.25,1,11,0,0,11,48,NO
4.0.0,2,2,50,53,26.5,50,56,0,0,0,0,0,0,0,15,NO
4.0.0,5,3,185,207,41.4,184,229,1,0.2,1,1,3,1,8,36,NO
4.0.0,3,3,61,66,22,61,71,0,0,0,3,0,0,3,43,NO
4.0.0,8,3,157,210,26.25,167,263,14,1.75,12,3,0,0,3,55,NO
4.0.0,4,3,81,92,23,80,103,1,0.25,1,2,0,0,2,40,NO
4.0.0,3,2,84,133,44.333332,83,182,1,0.333333,1,5,0,0,5,26,NO
4.0.0,12,3,762,1462,121.833336,547,2162,223,18.583334,75,28,1,0,29,197,NO
4.0.0,7,3,248,288,41.142857,198,328,54,7.714286,28,3,0,1,4,61,NO
4.0.0,9,3,169,232,25.777779,140,295,31,3.444444,18,5,0,0,5,42,NO
4.0.0,6,3,196,224,37.333332,178,252,18,3,9,5,1,0,6,48,NO
4.0.0,4,3,67,76,19,67,85,0,0,0,0,0,1,1,15,NO
4.0.0,4,3,165,182,45.5,138,199,27,6.75,26,1,0,0,1,36,NO
4.0.0,4,3,173,193,48.25,170,213,3,0.75,2,5,1,0,6,28,NO
4.0.0,6,2,103,127,21.166666,101,151,6,1,3,2,0,0,2,22,NO
4.0.0,1,1,78,78,78,78,78,0,0,0,6,0,0,6,23,NO
4.0.0,2,2,87,88,44,87,89,0,0,0,3,0,0,3,25,NO
4.0.0,2,2,85,86,43,85,87,0,0,0,0,0,0,4,19,NO
4.0.0,2,1,105,106,53,61,107,44,22,44,6,0,0,6,50,NO
4.0.0,4,2,216,224,56,216,232,0,0,0,12,0,0,12,117,NO
4.0.0,4,2,377,397,99.25,377,417,0,0,0,28,0,0,28,170,NO
4.0.0,2,1,253,255,127.5,251,257,2,1,2,5,1,0,10,82,NO
4.0.0,1,1,193,193,193,193,193,0,0,0,9,0,0,9,57,NO
4.0.0,1,1,514,514,514,514,514,0,0,0,20,5,0,25,147,NO
4.0.0,1,1,204,204,204,204,204,0,0,0,6,2,2,8,58,NO
4.0.0,1,1,144,144,144,144,144,0,0,0,10,0,0,10,98,NO
4.0.0,1,1,98,98,98,98,98,0,0,0,1,0,1,1,32,NO
4.0.0,7,3,181,203,29,178,225,11,1.571428,4,8,0,1,12,26,NO
4.0.0,4,3,154,162,40.5,75,170,79,19.75,68,0,0,1,1,73,NO
4.0.0,11,3,393,489,44.454544,209,585,190,17.272728,90,12,4,4,16,46,NO
