@relation WalkForward_2_SYNCOPE_TRAINING-SET_R[1.0.3-incubating]-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {1.0.0-incubating,1.0.1-incubating,1.0.3-incubating}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute LOCTOUCHED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute NPBM numeric
@attribute NPVM numeric
@attribute NSM numeric
@attribute NAM numeric
@attribute LOCM numeric
@attribute BUGGY {YES,NO}

@data
1.0.0-incubating,1,1,100,100,100,100,100,0,0,0,0,0,0,1,23,NO
1.0.0-incubating,2,1,258,294,147,258,334,4,2,4,2,4,0,6,68,NO
1.0.0-incubating,1,1,101,101,101,101,101,0,0,0,2,0,0,2,23,NO
1.0.0-incubating,1,1,178,178,178,178,178,0,0,0,3,2,0,5,50,NO
1.0.0-incubating,1,1,32,32,32,32,32,0,0,0,0,0,0,0,16,NO
1.0.0-incubating,1,1,28,28,28,28,28,0,0,0,0,0,0,0,16,NO
1.0.0-incubating,1,1,45,45,45,45,45,0,0,0,3,0,0,3,16,NO
1.0.0-incubating,3,2,32,35,11.666667,28,38,4,1.333333,4,0,0,0,0,17,NO
1.0.0-incubating,2,2,33,34,17,33,35,0,0,0,1,0,0,1,16,NO
1.0.0-incubating,3,2,75,82,27.333334,75,89,2,0.666667,1,1,0,0,2,22,NO
1.0.0-incubating,3,2,251,261,87,211,271,40,13.333333,40,35,0,0,35,66,NO
1.0.0-incubating,1,1,87,87,87,87,87,0,0,0,11,0,0,11,16,NO
1.0.0-incubating,3,2,82,84,28,82,86,0,0,0,11,0,0,11,16,NO
1.0.0-incubating,2,1,45,52,26,45,55,4,2,4,2,0,0,2,22,NO
1.0.0-incubating,4,1,143,185,46.25,143,214,49,12.25,30,21,0,0,21,16,NO
1.0.0-incubating,1,1,98,98,98,98,98,0,0,0,13,0,0,13,16,NO
1.0.0-incubating,1,1,46,46,46,46,46,0,0,0,2,0,0,2,16,NO
1.0.0-incubating,1,1,32,32,32,32,32,0,0,0,0,0,0,0,20,NO
1.0.0-incubating,1,1,102,102,102,102,102,0,0,0,12,0,0,12,16,NO
1.0.0-incubating,1,1,112,112,112,112,112,0,0,0,10,0,0,10,16,NO
1.0.0-incubating,1,1,85,85,85,85,85,0,0,0,7,0,0,7,19,NO
1.0.0-incubating,1,1,57,57,57,57,57,0,0,0,5,0,0,5,19,NO
1.0.0-incubating,1,1,210,210,210,210,210,0,0,0,25,0,10,25,16,NO
1.0.0-incubating,1,1,41,41,41,41,41,0,0,0,3,0,0,3,19,NO
1.0.0-incubating,1,1,34,34,34,34,34,0,0,0,0,0,0,0,19,NO
1.0.0-incubating,4,2,140,173,43.25,140,175,31,7.75,31,14,0,0,14,16,NO
1.0.0-incubating,1,1,85,85,85,85,85,0,0,0,10,0,0,10,16,NO
1.0.0-incubating,1,1,49,49,49,49,49,0,0,0,2,0,0,2,16,NO
1.0.0-incubating,1,1,111,111,111,111,111,0,0,0,8,0,0,8,48,NO
1.0.0-incubating,1,1,46,46,46,46,46,0,0,0,4,0,0,4,16,NO
1.0.0-incubating,1,1,91,91,91,91,91,0,0,0,12,0,0,12,16,NO
1.0.0-incubating,3,2,151,152,50.666668,151,153,0,0,0,18,0,0,18,16,NO
1.0.0-incubating,3,2,73,74,24.666666,73,75,0,0,0,4,0,0,4,16,NO
1.0.0-incubating,1,1,44,44,44,44,44,0,0,0,4,0,0,4,16,NO
1.0.0-incubating,1,1,47,47,47,47,47,0,0,0,4,0,0,4,16,NO
1.0.0-incubating,4,2,66,88,22,66,90,20,5,20,8,0,0,8,16,NO
1.0.0-incubating,1,1,153,153,153,153,153,0,0,0,24,0,0,24,16,NO
1.0.0-incubating,3,1,105,115,38.333332,105,115,10,3.333333,10,14,0,0,14,16,YES
1.0.0-incubating,1,1,49,49,49,49,49,0,0,0,2,0,0,2,16,NO
1.0.0-incubating,1,1,53,53,53,53,53,0,0,0,5,0,0,5,16,NO
1.0.0-incubating,2,1,125,137,68.5,125,149,0,0,0,8,0,0,8,66,NO
1.0.0-incubating,3,1,98,129,43,98,139,21,7,20,14,0,0,14,16,NO
1.0.0-incubating,1,1,40,40,40,40,40,0,0,0,3,0,0,3,16,NO
